type,number
even,717578
odd,636007
odd,890305
even,684312
odd,255477
odd,962693
odd,43379
odd,755609
odd,70419
odd,428509
even,822752
even,89856
odd,217355
even,141684
even,125224
even,110764
even,53548
even,560416
odd,255891
odd,750517
even,980472
odd,312877
even,341692
even,950672
odd,531251
odd,97811
even,748310
odd,761315
odd,733775
odd,736257
odd,920927
even,201820
even,283694
even,523188
even,536190
odd,417349
odd,101469
even,197266
even,288864
even,956910
even,94634
even,630770
even,816170
even,493358
even,458212
odd,783407
odd,481689
even,508196
odd,49007
even,543576
even,788874
even,689398
even,584150
even,797098
odd,430197
even,895618
even,951536
odd,222731
even,442708
even,783098
even,557324
odd,670037
even,238172
odd,395979
odd,334645
odd,646819
odd,750227
odd,461015
odd,399983
odd,290071
odd,6785
even,920166
even,436794
even,452828
odd,381781
even,72518
odd,827621
odd,724485
even,998958
odd,820451
odd,523499
odd,748425
even,660132
odd,426737
odd,622909
odd,484469
even,878330
odd,400513
even,964018
odd,596041
odd,26589
even,427700
odd,676545
odd,715057
even,85114
even,812488
odd,731075
odd,350911
odd,566875
even,271342
odd,447569
even,534104
odd,754761
odd,488517
odd,703893
even,204484
even,975930
odd,925499
even,308766
even,44202
odd,862369
odd,328717
even,495672
even,563218
odd,72595
even,645438
odd,431435
odd,12483
even,628240
odd,670519
even,163454
odd,250381
odd,448165
even,270482
odd,21217
even,502474
even,691252
even,112340
odd,593525
even,353098
odd,167305
even,520494
odd,835129
even,762546
odd,961405
odd,356409
even,1444
odd,773363
even,784222
odd,739597
even,639796
odd,36063
odd,64733
even,648788
even,958288
even,188556
even,57154
odd,962139
odd,799621
odd,600621
odd,167185
even,367618
even,771022
odd,322883
even,995692
odd,460159
odd,423231
even,181176
odd,497259
even,244366
odd,169435
odd,73385
even,264348
even,815478
odd,890033
odd,838315
even,12404
even,209712
odd,277393
even,202050
even,838796
even,913710
odd,573837
odd,3989
odd,387727
odd,782189
odd,243331
odd,647865
odd,307467
odd,375949
odd,875259
odd,345321
odd,64205
odd,165731
even,352914
